,0
0,"Outstanding hotel. Best place I have ever stayed. My 2nd time staying at this hotel. Staff and courteous and helpful. Rooms are luxurious. Food is excellent, atmosphere classy and playful."
1,"hotel is excellent throughout.  position is great.
Our room was fantastic-it was an upgrade as we were celebrating our 20th wedding anniversary"
2,"Room service is delicious!  Thanks, Louis for you care in setting up our breakfast. Beautiful room with fantastic view of the strip."
3,"It's a luxorious yet very interesting hotel. The details and the amount of amenities is astonishing. The rooms are big and the bathrooms are enormous. My room had an astonishing view to the mountains, overlooking the city lights, Treasure Island, The Mirage and if you go closer and see left you see more of the strip, with an entire wall as a window."
4,"Service, comfort staff, shows excellent, expected no less from the Wynn."
5,"My first time staying at a 5 star hotel. I don't think I want to go back to any other kind. The staff was super polite; everything worked and was made possible (for example, I was able to store my luggage at the property after check out, as my flight left later on). Life in a 5 star hotel is just that much more beautiful. And I think Wynn and Encore are exceptionally beautiful! I wish I could've stayed longer."
6,"This is the Wynn, the mighty Wynn. They set the benchmark for what a hotel can be. If the devil is in the detail, Wynn is where all devils work to make a hotel. (Pun intended, this is Vegas after all). Every small detail is taken cared of and executed well. It was a pleasure to be back in Wynn again."
7,"Great facilities . Property is impressive , clean . Casino is nice."
8,Nothing stands out.
9,"I cannot really complain about the Wynn as the hotel is a classic luxury hotel, the beds were comfortable, the view out of the window was great, the staff were pleasant and helpful and efficient. However it was all a bit meh.... There is nothing spectacular or quirky or very interesting about the place. It is just a straightforward, very expensive, luxury hotel with zero character. On previous trips to Las Vegas I have stayed in other hotels - the Bellagio and the Venetian and I prefer the Venetian by far as it has a bit more character and interest (the canals). The Bellagio has the fabulous fountains and great floral arrangements in the public areas. I would recommend those two hotels over the Wynn if you are going to spend that kind of money.  Also you do not need to book the panoramic rooms as the views from the  less expensive rooms  are just as good if not better. The rooms that overlook the golf course have a better view."
10,Overall it was wonderful as I had remember 7 years ago when I came in. One thing I would like to point out I totally had nothing to talk about but thumbs up for Wynn. Thus l was a little shock when there was no bath room slippers. You will need to call to request for it and I think they might not be able to offer it to you if they don have it. For the standard they were. I guess I would have to said they did drop.
11,I left my card purse on a machine and walked off - I realized five minutes later - I inquired and security had already taken it to list and found - spectacular - security - most important of all we are safe here and staff are all happy to do their job
12,"Location, Room and the views"
13,Very nice architecture and decoration. Le reve show was stunning and breathtaking.
14,The scenic view from floor to ceiling windows. The furnishings and Christmas decorations. The electronic controls in the room.
15,"Excelent location in the center of the cíty. A super wiew fron your room to all the city.
A realy luxury  hotel,good rates /value."
16,Rooms were large and comfortable- very well appointed and great for working on a business trip. Could easily entertain in the room.
17,Extremely modern and clean. Employees extremely friendly
18,This property is so well designed and supremely managed. This is the number one hotel and casino in LV. The others are relatively tacky and poorly run. Well done Wynns and thank you for a superb stay.
19,Beds were awesome. Room was palatial. Views of Las Vegas were great. Pool was great with plenty of room and poolside service.  Loved this hotel.
20,Service was exceptional. Staff was friendly. Food was great.
21,"Cleanliness, politeness and professionalism of staff, quality and selection of restaurants, fitness facility, and attention to detail."
22,"the room was very well maintained by really friendly team of staff. Easy to ask for whatever you wanted and plenty of staff to ask.
The restaurants offered a good selection"
23,"Huge comfortable bed, amazing views, and the bath was fabulous. Lovely helpful staff, especially concierges. Great places to eat."
24,THE PLACE HAS THOUGHT OF EVERYTHING
